100 400
1 2 200
1 12 535
1 13 493
1 29 669
1 45 770
1 52 103
1 84 175
1 91 193
2 3 200
3 4 200
3 14 789
3 17 498
3 79 196
4 5 200
4 49 202
4 64 813
5 6 200
5 13 490
5 30 577
5 48 589
5 55 1088
5 99 626
6 3 115
6 4 353
6 7 200
6 10 385
6 25 597
6 67 1014
7 8 200
7 13 525
7 30 848
8 9 200
8 49 478
9 10 200
9 14 806
9 29 609
9 40 621
9 85 126
9 92 992
9 100 594
10 11 200
10 31 472
10 36 787
10 59 526
10 64 333
10 100 209
11 12 200
11 48 829
11 58 626
11 69 110
11 73 858
12 13 200
12 28 995
12 34 208
12 65 190
12 67 659
12 76 1090
12 84 442
13 14 200
13 53 249
13 62 315
13 87 974
14 15 200
14 37 895
14 78 1060
14 96 718
15 2 541
15 16 200
15 20 375
15 34 816
15 44 236
15 47 828
15 54 793
15 81 1069
16 17 200
16 33 978
16 68 1058
17 7 905
17 18 200
17 21 782
17 37 929
17 80 185
17 99 611
18 17 196
18 19 200
18 65 233
18 86 962
18 87 283
19 7 271
19 20 200
19 26 494
19 29 957
19 58 1088
19 79 857
19 89 159
20 21 200
21 22 200
21 27 568
22 17 471
22 23 200
22 52 461
22 77 1011
23 19 578
23 24 200
24 25 200
24 75 880
24 80 884
25 3 158
25 9 327
25 10 787
25 26 200
25 45 982
25 57 309
25 84 783
25 89 838
26 6 258
26 23 1045
26 27 200
26 45 662
26 98 128
27 28 200
27 89 490
28 29 200
28 39 811
28 60 602
28 61 413
28 77 555
29 27 813
29 30 200
29 38 1029
30 31 200
30 58 631
30 61 604
30 69 971
30 86 949
31 5 474
31 32 200
31 90 422
32 33 200
32 58 818
32 69 182
33 21 696
33 34 200
33 49 404
33 62 110
34 27 1072
34 35 200
34 37 344
34 70 844
34 71 286
35 4 957
35 36 200
35 39 246
35 67 396
35 78 806
35 93 492
36 12 1020
36 37 200
36 52 1086
37 25 671
37 38 200
37 45 109
37 100 1058
38 5 190
38 6 705
38 8 286
38 15 510
38 16 502
38 36 916
38 39 200
38 66 1080
38 73 1058
38 90 866
38 91 978
38 95 295
39 28 910
39 40 200
39 68 234
39 70 877
40 5 141
40 41 200
40 55 855
40 66 868
40 70 205
40 77 482
40 83 302
40 97 859
41 11 160
41 20 315
41 40 250
41 42 200
41 78 642
41 99 439
42 9 218
42 43 200
42 58 197
42 93 1013
43 9 585
43 44 200
43 46 357
43 56 617
43 87 747
44 1 312
44 35 611
44 45 200
44 76 721
44 93 542
44 94 465
45 28 349
45 37 921
45 41 784
45 46 200
45 64 826
46 5 412
46 28 129
46 35 866
46 39 1081
46 47 200
46 70 397
46 79 342
47 12 122
47 25 418
47 32 552
47 43 582
47 48 200
47 56 941
47 74 180
48 6 393
48 8 414
48 36 400
48 40 995
48 49 200
48 55 189
49 50 200
49 64 390
49 66 625
50 5 1036
50 27 317
50 33 158
50 51 200
50 64 677
50 65 326
51 13 725
51 21 186
51 49 178
51 52 200
52 9 888
52 22 122
52 38 941
52 53 200
52 64 167
52 66 514
52 77 1096
53 54 200
53 60 787
53 77 1063
54 15 551
54 42 219
54 53 264
54 55 200
54 70 896
55 5 142
55 8 636
55 44 484
55 56 200
55 80 782
55 84 896
55 96 580
56 6 734
56 43 110
56 57 200
57 23 757
57 27 774
57 58 200
57 84 167
58 38 928
58 59 200
58 63 308
